Label,MJD Mary's Bursts,File
B1,58002.06064990,Desconocido
B2,58002.06079462,Desconocido
B3,58002.06326903,Desconocido
B4,58002.10493971,Desconocido
B5,58002.13924345,Desconocido
B6,58002.16682581,Desconocido
B7,58002.25853920,Desconocido
,,
B8,58440.83883567,3096
B9,58440.86265698,3096
,,
B10,58440.92373353,3098
B11,58440.93680704,3098
,,
B12,58440.98983592,3099
B13,58440.99886173,3099
,,
B14,58441.00757958,3100
B15,58441.00822194,3100
B16,58441.01258300,3100
B17,58441.01554045,3100
B18,58441.01804790,3100
B19,58441.01913588,3100
B20,58441.02882405,3100
B21,58441.02882449,3100
B22,58441.02977529,3100
,,
B23,58441.05983219,3101
B24,58441.05999105,3101
B25,58441.06141082,3101
B26,58441.06458850,3101
B27,58441.06740086,3101
,,
B28,58441.10637008,3102
B29,58441.10929348,3102
B30,58441.11247744,3102
B31,58441.12460903,3102
,,
B32,58720.20627591,Desconocido
B33,58720.23061644,Desconocido
B34,58735.23080424,Desconocido
B35,58735.23775616,Desconocido
B36,58735.23963083,Desconocido
